Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.4221850928487414,0.3303180075813048,"tensor(0.6054, device='cuda:0')","tensor(0.7542, device='cuda:0')"
2,0.2451330544269186,0.23783813498102793,"tensor(0.6908, device='cuda:0')","tensor(0.8172, device='cuda:0')"
3,0.21142631043064392,0.2041478580472493,"tensor(0.7464, device='cuda:0')","tensor(0.8548, device='cuda:0')"
4,0.19699741644248114,0.20574192112625236,"tensor(0.7295, device='cuda:0')","tensor(0.8436, device='cuda:0')"
5,0.184592724761973,0.20466401442737864,"tensor(0.7407, device='cuda:0')","tensor(0.8510, device='cuda:0')"
6,0.16947194801296217,0.22970177602059771,"tensor(0.7061, device='cuda:0')","tensor(0.8277, device='cuda:0')"
7,0.1580191926115145,0.20630973481600828,"tensor(0.7269, device='cuda:0')","tensor(0.8418, device='cuda:0')"
8,0.13814105893785167,0.17714203591689026,"tensor(0.7586, device='cuda:0')","tensor(0.8627, device='cuda:0')"
9,0.13024587308893265,0.17258677897181843,"tensor(0.7632, device='cuda:0')","tensor(0.8657, device='cuda:0')"
10,0.12718484976912958,0.1758366224568079,"tensor(0.7635, device='cuda:0')","tensor(0.8659, device='cuda:0')"
11,0.1254015024909276,0.1814594343304634,"tensor(0.7535, device='cuda:0')","tensor(0.8594, device='cuda:0')"
12,0.12187657247976226,0.16594816519334765,"tensor(0.7748, device='cuda:0')","tensor(0.8731, device='cuda:0')"
13,0.11798427156093767,0.16005715281508937,"tensor(0.7812, device='cuda:0')","tensor(0.8772, device='cuda:0')"
14,0.11915116611931284,0.17421421714790977,"tensor(0.7633, device='cuda:0')","tensor(0.8658, device='cuda:0')"
15,0.11369840401398429,0.1613543886728216,"tensor(0.7805, device='cuda:0')","tensor(0.8767, device='cuda:0')"
16,0.11708192768806623,0.16234599323113366,"tensor(0.7792, device='cuda:0')","tensor(0.8759, device='cuda:0')"
17,0.11177467433262174,0.17610429315873893,"tensor(0.7650, device='cuda:0')","tensor(0.8669, device='cuda:0')"
18,0.11199213302362773,0.1694519413948649,"tensor(0.7734, device='cuda:0')","tensor(0.8722, device='cuda:0')"
19,0.11027556690939908,0.16849504949727862,"tensor(0.7730, device='cuda:0')","tensor(0.8720, device='cuda:0')"
20,0.11056767328310821,0.16832876932060364,"tensor(0.7734, device='cuda:0')","tensor(0.8722, device='cuda:0')"
21,0.11119364591915223,0.16599552418188293,"tensor(0.7751, device='cuda:0')","tensor(0.8733, device='cuda:0')"
22,0.11263556524290372,0.16490735578359944,"tensor(0.7770, device='cuda:0')","tensor(0.8745, device='cuda:0')"
23,0.10931558965436988,0.16396731669359868,"tensor(0.7785, device='cuda:0')","tensor(0.8755, device='cuda:0')"
24,0.10737647245622288,0.16564567376038816,"tensor(0.7759, device='cuda:0')","tensor(0.8738, device='cuda:0')"
25,0.10829336084109747,0.16554709855872807,"tensor(0.7762, device='cuda:0')","tensor(0.8740, device='cuda:0')"
26,0.10889225727799585,0.16606837452048123,"tensor(0.7760, device='cuda:0')","tensor(0.8738, device='cuda:0')"
27,0.10980329200057155,0.16270407241317306,"tensor(0.7791, device='cuda:0')","tensor(0.8758, device='cuda:0')"
28,0.10687251310101,0.16335606597142643,"tensor(0.7779, device='cuda:0')","tensor(0.8751, device='cuda:0')"
29,0.1098234590963792,0.1640280732276416,"tensor(0.7773, device='cuda:0')","tensor(0.8747, device='cuda:0')"
30,0.10988091759509959,0.16371979693522548,"tensor(0.7785, device='cuda:0')","tensor(0.8754, device='cuda:0')"
31,0.10854094347648197,0.16736803469386433,"tensor(0.7744, device='cuda:0')","tensor(0.8729, device='cuda:0')"
32,0.11070114108970609,0.16440300289357063,"tensor(0.7782, device='cuda:0')","tensor(0.8753, device='cuda:0')"
33,0.10980753090737735,0.16636540615322568,"tensor(0.7746, device='cuda:0')","tensor(0.8730, device='cuda:0')"
