Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6708414784427417,0.6505118390121082,"tensor(0.3464, device='cuda:0')","tensor(0.5145, device='cuda:0')"
2,0.5306965838802062,0.47131039216966913,"tensor(0.5222, device='cuda:0')","tensor(0.6861, device='cuda:0')"
3,0.43013215961597734,0.4173612358546493,"tensor(0.5320, device='cuda:0')","tensor(0.6945, device='cuda:0')"
4,0.3803019445326369,0.3845038977589938,"tensor(0.5482, device='cuda:0')","tensor(0.7082, device='cuda:0')"
5,0.3777013906609204,0.36623031328810324,"tensor(0.5612, device='cuda:0')","tensor(0.7189, device='cuda:0')"
6,0.39804634281386764,0.3561110884541332,"tensor(0.5739, device='cuda:0')","tensor(0.7293, device='cuda:0')"
7,0.3614514889353413,0.3416805364707909,"tensor(0.5816, device='cuda:0')","tensor(0.7355, device='cuda:0')"
8,0.34196266209927656,0.3208627047220079,"tensor(0.6117, device='cuda:0')","tensor(0.7591, device='cuda:0')"
9,0.3278318348703748,0.3611632430612451,"tensor(0.5616, device='cuda:0')","tensor(0.7193, device='cuda:0')"
10,0.3146673458612571,0.3003342403928832,"tensor(0.6278, device='cuda:0')","tensor(0.7713, device='cuda:0')"
11,0.3014022420018406,0.299930937661983,"tensor(0.6428, device='cuda:0')","tensor(0.7826, device='cuda:0')"
12,0.2993647803441953,0.30030287344857015,"tensor(0.6326, device='cuda:0')","tensor(0.7749, device='cuda:0')"
13,0.3029846378554732,0.30673408788619655,"tensor(0.6164, device='cuda:0')","tensor(0.7627, device='cuda:0')"
14,0.3365917368081667,0.3622516830368797,"tensor(0.5405, device='cuda:0')","tensor(0.7017, device='cuda:0')"
15,0.33246590575929413,0.3498652246919009,"tensor(0.5432, device='cuda:0')","tensor(0.7040, device='cuda:0')"
16,0.31143471806988876,0.3288925909759975,"tensor(0.5802, device='cuda:0')","tensor(0.7343, device='cuda:0')"
17,0.2934107453388683,0.3209545261198931,"tensor(0.5871, device='cuda:0')","tensor(0.7399, device='cuda:0')"
18,0.30018100477123666,0.3173504688657156,"tensor(0.5943, device='cuda:0')","tensor(0.7455, device='cuda:0')"
19,0.30007117879340206,0.33142766400729073,"tensor(0.5714, device='cuda:0')","tensor(0.7273, device='cuda:0')"
20,0.29675286926202854,0.3272470305166622,"tensor(0.5785, device='cuda:0')","tensor(0.7330, device='cuda:0')"
21,0.287470008167675,0.3295546219785615,"tensor(0.5737, device='cuda:0')","tensor(0.7291, device='cuda:0')"
22,0.29244255040914324,0.33860142233938273,"tensor(0.5585, device='cuda:0')","tensor(0.7167, device='cuda:0')"
23,0.29146778286766195,0.3274499832993687,"tensor(0.5765, device='cuda:0')","tensor(0.7313, device='cuda:0')"
24,0.29099895274740156,0.3413510397814288,"tensor(0.5517, device='cuda:0')","tensor(0.7111, device='cuda:0')"
25,0.29287176314046826,0.318359308756224,"tensor(0.5875, device='cuda:0')","tensor(0.7402, device='cuda:0')"
26,0.29522663335931504,0.3356391164926019,"tensor(0.5750, device='cuda:0')","tensor(0.7302, device='cuda:0')"
27,0.29192841823323296,0.32295904050369073,"tensor(0.5856, device='cuda:0')","tensor(0.7387, device='cuda:0')"
28,0.29193091247293906,0.3380281998969541,"tensor(0.5630, device='cuda:0')","tensor(0.7204, device='cuda:0')"
29,0.2934344853511301,0.321174412670702,"tensor(0.5873, device='cuda:0')","tensor(0.7400, device='cuda:0')"
30,0.28499804595011774,0.33909234950448025,"tensor(0.5605, device='cuda:0')","tensor(0.7184, device='cuda:0')"
31,0.28916351383520383,0.3269934207201004,"tensor(0.5734, device='cuda:0')","tensor(0.7288, device='cuda:0')"
