Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.3539857353573128,0.2785661305383881,"tensor(0.6584, device='cuda:0')","tensor(0.7940, device='cuda:0')"
2,0.2562727073239068,0.26415239200733676,"tensor(0.6699, device='cuda:0')","tensor(0.8024, device='cuda:0')"
3,0.21318368503224042,0.23370153073332098,"tensor(0.6722, device='cuda:0')","tensor(0.8040, device='cuda:0')"
4,0.1902035849831872,0.19756550179554686,"tensor(0.7355, device='cuda:0')","tensor(0.8476, device='cuda:0')"
5,0.1795283413129085,0.200093147778275,"tensor(0.7401, device='cuda:0')","tensor(0.8507, device='cuda:0')"
6,0.1666268676645675,0.1858456685106353,"tensor(0.7500, device='cuda:0')","tensor(0.8572, device='cuda:0')"
7,0.15718320247291004,0.21005124724147342,"tensor(0.7147, device='cuda:0')","tensor(0.8336, device='cuda:0')"
8,0.15424949091748666,0.1876114789802249,"tensor(0.7445, device='cuda:0')","tensor(0.8535, device='cuda:0')"
9,0.14262133086952616,0.19321625546948745,"tensor(0.7440, device='cuda:0')","tensor(0.8532, device='cuda:0')"
10,0.14944647890278848,0.18337816641767427,"tensor(0.7609, device='cuda:0')","tensor(0.8642, device='cuda:0')"
11,0.1352456271869399,0.19593891796499197,"tensor(0.7485, device='cuda:0')","tensor(0.8562, device='cuda:0')"
12,0.14388436082182293,0.18809504674212768,"tensor(0.7445, device='cuda:0')","tensor(0.8535, device='cuda:0')"
13,0.14207614528930793,0.21997090443821238,"tensor(0.7012, device='cuda:0')","tensor(0.8244, device='cuda:0')"
14,0.12958309333771467,0.15996716816974157,"tensor(0.7822, device='cuda:0')","tensor(0.8778, device='cuda:0')"
15,0.1264028458587699,0.19758421857610786,"tensor(0.7298, device='cuda:0')","tensor(0.8438, device='cuda:0')"
16,0.13103308827000654,0.17331000524434712,"tensor(0.7743, device='cuda:0')","tensor(0.8728, device='cuda:0')"
17,0.13296083850249396,0.22385141105935125,"tensor(0.7103, device='cuda:0')","tensor(0.8306, device='cuda:0')"
18,0.1252803107628883,0.1627357127790404,"tensor(0.7865, device='cuda:0')","tensor(0.8805, device='cuda:0')"
19,0.12342632566657612,0.15616189732705013,"tensor(0.7907, device='cuda:0')","tensor(0.8831, device='cuda:0')"
20,0.12189885792401382,0.18805265994650303,"tensor(0.7513, device='cuda:0')","tensor(0.8580, device='cuda:0')"
21,0.11695381435486725,0.18861779504188217,"tensor(0.7440, device='cuda:0')","tensor(0.8532, device='cuda:0')"
22,0.1266996066670044,0.16214996251729455,"tensor(0.7809, device='cuda:0')","tensor(0.8770, device='cuda:0')"
23,0.11553755107383101,0.16955548156015943,"tensor(0.7770, device='cuda:0')","tensor(0.8745, device='cuda:0')"
24,0.10231200125762972,0.15364665538072586,"tensor(0.7937, device='cuda:0')","tensor(0.8850, device='cuda:0')"
25,0.0998809050168779,0.15422201082848086,"tensor(0.7912, device='cuda:0')","tensor(0.8834, device='cuda:0')"
26,0.09410960400887465,0.15065539912274567,"tensor(0.7988, device='cuda:0')","tensor(0.8882, device='cuda:0')"
27,0.09309043509538396,0.15068039124702462,"tensor(0.7985, device='cuda:0')","tensor(0.8880, device='cuda:0')"
28,0.09234296670972796,0.1475708061589463,"tensor(0.8024, device='cuda:0')","tensor(0.8904, device='cuda:0')"
