Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.4763181807504872,0.3250395947753793,"tensor(0.6586, device='cuda:0')","tensor(0.7942, device='cuda:0')"
2,0.2321017271191892,0.23699836521455558,"tensor(0.6944, device='cuda:0')","tensor(0.8197, device='cuda:0')"
3,0.20325893649862983,0.2467329704968056,"tensor(0.6559, device='cuda:0')","tensor(0.7922, device='cuda:0')"
4,0.18995164994592384,0.263224458340371,"tensor(0.6360, device='cuda:0')","tensor(0.7775, device='cuda:0')"
5,0.17577894844935607,0.22507902267988367,"tensor(0.6982, device='cuda:0')","tensor(0.8223, device='cuda:0')"
6,0.16749804088119732,0.2115058173785115,"tensor(0.7311, device='cuda:0')","tensor(0.8447, device='cuda:0')"
7,0.15313522261962043,0.20397703349590302,"tensor(0.7389, device='cuda:0')","tensor(0.8498, device='cuda:0')"
8,0.15487432498800552,0.21550426617412283,"tensor(0.7182, device='cuda:0')","tensor(0.8360, device='cuda:0')"
9,0.14715271736731975,0.2200148578843858,"tensor(0.7061, device='cuda:0')","tensor(0.8277, device='cuda:0')"
10,0.14184254726742285,0.2076524295429192,"tensor(0.7087, device='cuda:0')","tensor(0.8295, device='cuda:0')"
11,0.13580074606431744,0.19120582798034838,"tensor(0.7382, device='cuda:0')","tensor(0.8494, device='cuda:0')"
12,0.12279565768095396,0.1730048889570897,"tensor(0.7611, device='cuda:0')","tensor(0.8643, device='cuda:0')"
13,0.11753888204062389,0.16857942912985782,"tensor(0.7691, device='cuda:0')","tensor(0.8695, device='cuda:0')"
14,0.11322071084405406,0.16580108210149377,"tensor(0.7726, device='cuda:0')","tensor(0.8717, device='cuda:0')"
15,0.1144340688173296,0.16427944021502344,"tensor(0.7765, device='cuda:0')","tensor(0.8742, device='cuda:0')"
16,0.10773061321637893,0.1655164441407317,"tensor(0.7752, device='cuda:0')","tensor(0.8734, device='cuda:0')"
17,0.10734995863384615,0.16081949825039005,"tensor(0.7818, device='cuda:0')","tensor(0.8776, device='cuda:0')"
18,0.11130112927343885,0.15994825472336005,"tensor(0.7825, device='cuda:0')","tensor(0.8780, device='cuda:0')"
19,0.10914280003536556,0.16194615800782006,"tensor(0.7813, device='cuda:0')","tensor(0.8772, device='cuda:0')"
20,0.10644350271924573,0.16278451740151584,"tensor(0.7810, device='cuda:0')","tensor(0.8770, device='cuda:0')"
21,0.10840704137364686,0.1573661562461074,"tensor(0.7874, device='cuda:0')","tensor(0.8811, device='cuda:0')"
22,0.10183227336886576,0.15889099243991445,"tensor(0.7848, device='cuda:0')","tensor(0.8794, device='cuda:0')"
23,0.10240802014151872,0.16189135563108,"tensor(0.7806, device='cuda:0')","tensor(0.8768, device='cuda:0')"
24,0.10317584490245682,0.16096459989352982,"tensor(0.7835, device='cuda:0')","tensor(0.8786, device='cuda:0')"
25,0.10253981300392899,0.15969436884959146,"tensor(0.7861, device='cuda:0')","tensor(0.8803, device='cuda:0')"
26,0.09930465599301003,0.1590776611303929,"tensor(0.7863, device='cuda:0')","tensor(0.8804, device='cuda:0')"
27,0.09956570889927067,0.15638442285875281,"tensor(0.7886, device='cuda:0')","tensor(0.8818, device='cuda:0')"
28,0.09817467759347569,0.16164452903489074,"tensor(0.7831, device='cuda:0')","tensor(0.8784, device='cuda:0')"
29,0.10068293520391493,0.15859231574110466,"tensor(0.7862, device='cuda:0')","tensor(0.8803, device='cuda:0')"
30,0.10122756409001048,0.1621174782440804,"tensor(0.7819, device='cuda:0')","tensor(0.8776, device='cuda:0')"
31,0.09859846120352968,0.1584824033376604,"tensor(0.7874, device='cuda:0')","tensor(0.8811, device='cuda:0')"
32,0.09875744235528222,0.15938016905052826,"tensor(0.7848, device='cuda:0')","tensor(0.8795, device='cuda:0')"
33,0.0985362218471907,0.158287838691532,"tensor(0.7862, device='cuda:0')","tensor(0.8803, device='cuda:0')"
34,0.09792581521037777,0.15895515971697202,"tensor(0.7854, device='cuda:0')","tensor(0.8798, device='cuda:0')"
35,0.09881958305456881,0.1560060697616917,"tensor(0.7896, device='cuda:0')","tensor(0.8824, device='cuda:0')"
