Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.3070522780703791,0.2896997516993249,"tensor(0.6605, device='cuda:0')","tensor(0.7956, device='cuda:0')"
2,0.2223534146797354,0.25737192754698274,"tensor(0.6819, device='cuda:0')","tensor(0.8109, device='cuda:0')"
3,0.19677885782794427,0.26479693074332605,"tensor(0.6405, device='cuda:0')","tensor(0.7809, device='cuda:0')"
4,0.18508609557934738,0.29036204760322476,"tensor(0.6256, device='cuda:0')","tensor(0.7697, device='cuda:0')"
5,0.1721779504412059,0.21239094314451265,"tensor(0.7169, device='cuda:0')","tensor(0.8351, device='cuda:0')"
6,0.16037620902377164,0.20382996176434034,"tensor(0.7248, device='cuda:0')","tensor(0.8404, device='cuda:0')"
7,0.1536085005628608,0.19692520952165718,"tensor(0.7458, device='cuda:0')","tensor(0.8544, device='cuda:0')"
8,0.13912160178425453,0.17875900805586636,"tensor(0.7694, device='cuda:0')","tensor(0.8697, device='cuda:0')"
9,0.1441564806026675,0.25819205714039284,"tensor(0.6138, device='cuda:0')","tensor(0.7607, device='cuda:0')"
10,0.13594278915769467,0.19101874190982027,"tensor(0.7522, device='cuda:0')","tensor(0.8586, device='cuda:0')"
11,0.1272885265554917,0.2137092339372871,"tensor(0.7091, device='cuda:0')","tensor(0.8298, device='cuda:0')"
12,0.1378208561879346,0.19196580449985987,"tensor(0.7442, device='cuda:0')","tensor(0.8534, device='cuda:0')"
13,0.11313082869717125,0.17421035206701496,"tensor(0.7601, device='cuda:0')","tensor(0.8637, device='cuda:0')"
14,0.1026875218218666,0.16456672309501336,"tensor(0.7741, device='cuda:0')","tensor(0.8727, device='cuda:0')"
15,0.10408791850747193,0.17079627351595625,"tensor(0.7671, device='cuda:0')","tensor(0.8682, device='cuda:0')"
16,0.10295086944381059,0.17054492268379373,"tensor(0.7645, device='cuda:0')","tensor(0.8665, device='cuda:0')"
17,0.10012691265950768,0.17041425414309644,"tensor(0.7639, device='cuda:0')","tensor(0.8661, device='cuda:0')"
18,0.0986314272129182,0.15405142034339434,"tensor(0.7851, device='cuda:0')","tensor(0.8796, device='cuda:0')"
19,0.09535322074731023,0.15593944264963122,"tensor(0.7840, device='cuda:0')","tensor(0.8789, device='cuda:0')"
20,0.09646467678248882,0.1582307039142245,"tensor(0.7845, device='cuda:0')","tensor(0.8792, device='cuda:0')"
21,0.09341580644881321,0.16875038273853832,"tensor(0.7712, device='cuda:0')","tensor(0.8708, device='cuda:0')"
22,0.09415398795410233,0.16382168012090248,"tensor(0.7775, device='cuda:0')","tensor(0.8748, device='cuda:0')"
23,0.08844386034850348,0.1586060870328162,"tensor(0.7860, device='cuda:0')","tensor(0.8802, device='cuda:0')"
24,0.08944354803790733,0.1597318337990506,"tensor(0.7831, device='cuda:0')","tensor(0.8783, device='cuda:0')"
25,0.08863295142744053,0.16322546562936047,"tensor(0.7787, device='cuda:0')","tensor(0.8756, device='cuda:0')"
26,0.09094852725264885,0.15540434136101516,"tensor(0.7877, device='cuda:0')","tensor(0.8812, device='cuda:0')"
27,0.09026303727937451,0.1609113310085665,"tensor(0.7811, device='cuda:0')","tensor(0.8771, device='cuda:0')"
28,0.08715244766198478,0.15850835039031388,"tensor(0.7843, device='cuda:0')","tensor(0.8791, device='cuda:0')"
29,0.08807243495169333,0.15948750554482535,"tensor(0.7822, device='cuda:0')","tensor(0.8778, device='cuda:0')"
30,0.08699906407460822,0.15936857712740946,"tensor(0.7852, device='cuda:0')","tensor(0.8797, device='cuda:0')"
31,0.08683470088862262,0.16211769386830896,"tensor(0.7811, device='cuda:0')","tensor(0.8771, device='cuda:0')"
32,0.08667886880684202,0.16000008546184785,"tensor(0.7825, device='cuda:0')","tensor(0.8780, device='cuda:0')"
33,0.08826093224145598,0.15897926053788403,"tensor(0.7847, device='cuda:0')","tensor(0.8794, device='cuda:0')"
34,0.08770246156570265,0.1618635405482042,"tensor(0.7810, device='cuda:0')","tensor(0.8770, device='cuda:0')"
35,0.08812324893739769,0.16065708068337772,"tensor(0.7832, device='cuda:0')","tensor(0.8784, device='cuda:0')"
36,0.0873684245872043,0.15959743930414172,"tensor(0.7842, device='cuda:0')","tensor(0.8790, device='cuda:0')"
37,0.08675523116490093,0.15750100194375113,"tensor(0.7854, device='cuda:0')","tensor(0.8798, device='cuda:0')"
38,0.08591242222967795,0.15969568376641463,"tensor(0.7838, device='cuda:0')","tensor(0.8788, device='cuda:0')"
39,0.08754827765653193,0.15999729330144305,"tensor(0.7836, device='cuda:0')","tensor(0.8787, device='cuda:0')"
40,0.08660127363025637,0.1593885085370281,"tensor(0.7832, device='cuda:0')","tensor(0.8784, device='cuda:0')"
41,0.08802849895683891,0.16017845450061383,"tensor(0.7819, device='cuda:0')","tensor(0.8776, device='cuda:0')"
42,0.08917007672647803,0.15976245210754988,"tensor(0.7844, device='cuda:0')","tensor(0.8792, device='cuda:0')"
43,0.08609499313505524,0.1573532317755836,"tensor(0.7855, device='cuda:0')","tensor(0.8798, device='cuda:0')"
44,0.0875055043153086,0.16137774764458732,"tensor(0.7820, device='cuda:0')","tensor(0.8777, device='cuda:0')"
45,0.08635938159679457,0.15969791587921653,"tensor(0.7830, device='cuda:0')","tensor(0.8783, device='cuda:0')"
46,0.08698018508473948,0.15672585500939057,"tensor(0.7874, device='cuda:0')","tensor(0.8811, device='cuda:0')"
