Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.4169017364413051,0.3202119851761525,"tensor(0.6432, device='cuda:0')","tensor(0.7829, device='cuda:0')"
2,0.22929701635266764,0.2098806914274055,"tensor(0.7422, device='cuda:0')","tensor(0.8520, device='cuda:0')"
3,0.19453803064712025,0.20852061774175945,"tensor(0.7231, device='cuda:0')","tensor(0.8393, device='cuda:0')"
4,0.17576790765180425,0.19432847437882186,"tensor(0.7430, device='cuda:0')","tensor(0.8525, device='cuda:0')"
5,0.16226626987868953,0.18601739672150944,"tensor(0.7539, device='cuda:0')","tensor(0.8597, device='cuda:0')"
6,0.15510817700839144,0.22161217092877566,"tensor(0.7127, device='cuda:0')","tensor(0.8322, device='cuda:0')"
7,0.14318466312804465,0.19458091207364997,"tensor(0.7402, device='cuda:0')","tensor(0.8507, device='cuda:0')"
8,0.15228197103271546,0.17136740950074528,"tensor(0.7732, device='cuda:0')","tensor(0.8721, device='cuda:0')"
9,0.14467077361325087,0.211881419219593,"tensor(0.7186, device='cuda:0')","tensor(0.8363, device='cuda:0')"
10,0.13878222733294054,0.1753317073430165,"tensor(0.7676, device='cuda:0')","tensor(0.8685, device='cuda:0')"
11,0.13596363215691457,0.17241506824398986,"tensor(0.7666, device='cuda:0')","tensor(0.8679, device='cuda:0')"
12,0.13636849711696475,0.17623821033699677,"tensor(0.7599, device='cuda:0')","tensor(0.8635, device='cuda:0')"
13,0.1250413725057901,0.16282292780014548,"tensor(0.7780, device='cuda:0')","tensor(0.8751, device='cuda:0')"
14,0.11632250315683373,0.16142930540412959,"tensor(0.7801, device='cuda:0')","tensor(0.8764, device='cuda:0')"
15,0.11236208001688375,0.16148640650628818,"tensor(0.7796, device='cuda:0')","tensor(0.8761, device='cuda:0')"
16,0.11178346578094919,0.16158529179226053,"tensor(0.7802, device='cuda:0')","tensor(0.8765, device='cuda:0')"
17,0.11443350108940217,0.16259359863429967,"tensor(0.7763, device='cuda:0')","tensor(0.8740, device='cuda:0')"
18,0.11029146108144926,0.15635625228728398,"tensor(0.7898, device='cuda:0')","tensor(0.8825, device='cuda:0')"
19,0.11058482991815624,0.1599096431590543,"tensor(0.7837, device='cuda:0')","tensor(0.8787, device='cuda:0')"
20,0.10932467809988786,0.15614985681996488,"tensor(0.7884, device='cuda:0')","tensor(0.8817, device='cuda:0')"
21,0.10832601817230046,0.15632993823821,"tensor(0.7871, device='cuda:0')","tensor(0.8809, device='cuda:0')"
22,0.10802624114173448,0.1608413259434228,"tensor(0.7786, device='cuda:0')","tensor(0.8755, device='cuda:0')"
23,0.10745079715941418,0.15889957764803772,"tensor(0.7822, device='cuda:0')","tensor(0.8778, device='cuda:0')"
24,0.10385861923381434,0.15866576990868786,"tensor(0.7836, device='cuda:0')","tensor(0.8787, device='cuda:0')"
25,0.10403286114777044,0.15657485261707021,"tensor(0.7863, device='cuda:0')","tensor(0.8804, device='cuda:0')"
26,0.1048108485953535,0.15699264466172397,"tensor(0.7856, device='cuda:0')","tensor(0.8800, device='cuda:0')"
27,0.10251796651252751,0.15859541599408233,"tensor(0.7832, device='cuda:0')","tensor(0.8784, device='cuda:0')"
28,0.1042204844623299,0.15656175866427988,"tensor(0.7868, device='cuda:0')","tensor(0.8807, device='cuda:0')"
29,0.1035819740302987,0.1580018411842313,"tensor(0.7842, device='cuda:0')","tensor(0.8790, device='cuda:0')"
30,0.10608596569400723,0.15848608853498308,"tensor(0.7833, device='cuda:0')","tensor(0.8785, device='cuda:0')"
31,0.10286843074264668,0.15634030922509656,"tensor(0.7866, device='cuda:0')","tensor(0.8805, device='cuda:0')"
32,0.10465564924465903,0.15751097782856166,"tensor(0.7853, device='cuda:0')","tensor(0.8798, device='cuda:0')"
33,0.10328971111547139,0.15681284083293215,"tensor(0.7865, device='cuda:0')","tensor(0.8805, device='cuda:0')"
34,0.10428142478152858,0.15702861396245438,"tensor(0.7857, device='cuda:0')","tensor(0.8800, device='cuda:0')"
35,0.10366542718641586,0.1566745975967681,"tensor(0.7862, device='cuda:0')","tensor(0.8803, device='cuda:0')"
36,0.10551550360870059,0.15729385640213986,"tensor(0.7846, device='cuda:0')","tensor(0.8793, device='cuda:0')"
37,0.10514028599264763,0.15712322423806285,"tensor(0.7857, device='cuda:0')","tensor(0.8800, device='cuda:0')"
38,0.10600516637313669,0.1568564806908074,"tensor(0.7866, device='cuda:0')","tensor(0.8805, device='cuda:0')"
