Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.5376182004051694,0.4681588741812375,"tensor(0.4749, device='cuda:0')","tensor(0.6440, device='cuda:0')"
2,0.37196209161715993,0.33472128964886805,"tensor(0.5749, device='cuda:0')","tensor(0.7300, device='cuda:0')"
3,0.3171922526622223,0.3231953291019591,"tensor(0.5733, device='cuda:0')","tensor(0.7288, device='cuda:0')"
4,0.2984757247238846,0.29154297768479526,"tensor(0.5895, device='cuda:0')","tensor(0.7417, device='cuda:0')"
5,0.27315934374928474,0.2860365060738998,"tensor(0.5864, device='cuda:0')","tensor(0.7393, device='cuda:0')"
6,0.26373274564364196,0.2737292927680629,"tensor(0.6309, device='cuda:0')","tensor(0.7736, device='cuda:0')"
7,0.2597335792951665,0.26639640995181435,"tensor(0.6191, device='cuda:0')","tensor(0.7648, device='cuda:0')"
8,0.2566358712265047,0.2961013899138658,"tensor(0.5522, device='cuda:0')","tensor(0.7115, device='cuda:0')"
9,0.2592954922593751,0.3253206286837559,"tensor(0.5091, device='cuda:0')","tensor(0.6747, device='cuda:0')"
10,0.25703087477487024,0.28381240404773467,"tensor(0.5791, device='cuda:0')","tensor(0.7334, device='cuda:0')"
11,0.258078253938485,0.2645318806171417,"tensor(0.6253, device='cuda:0')","tensor(0.7695, device='cuda:0')"
12,0.25326129443690937,0.2704933502591482,"tensor(0.6235, device='cuda:0')","tensor(0.7681, device='cuda:0')"
13,0.2534092312710265,0.26014172411201025,"tensor(0.6411, device='cuda:0')","tensor(0.7813, device='cuda:0')"
14,0.2517158925154452,0.26965613847616876,"tensor(0.6142, device='cuda:0')","tensor(0.7610, device='cuda:0')"
15,0.24704722902279788,0.27878639662619864,"tensor(0.6022, device='cuda:0')","tensor(0.7517, device='cuda:0')"
16,0.24827169854257067,0.2594196417249075,"tensor(0.6274, device='cuda:0')","tensor(0.7710, device='cuda:0')"
17,0.24799785033752353,0.26444941781239933,"tensor(0.6264, device='cuda:0')","tensor(0.7703, device='cuda:0')"
18,0.2504337674669795,0.27185588757885565,"tensor(0.6281, device='cuda:0')","tensor(0.7716, device='cuda:0')"
19,0.2465045751403954,0.2611968096825156,"tensor(0.6336, device='cuda:0')","tensor(0.7757, device='cuda:0')"
20,0.2468149336528475,0.2626600140834799,"tensor(0.6272, device='cuda:0')","tensor(0.7709, device='cuda:0')"
21,0.24806554075646198,0.2660946462414052,"tensor(0.6338, device='cuda:0')","tensor(0.7758, device='cuda:0')"
22,0.24393449714249474,0.26881257975750633,"tensor(0.6246, device='cuda:0')","tensor(0.7690, device='cuda:0')"
23,0.24680431695433996,0.26016746579420447,"tensor(0.6400, device='cuda:0')","tensor(0.7805, device='cuda:0')"
24,0.2480226513314045,0.2639885710017516,"tensor(0.6358, device='cuda:0')","tensor(0.7773, device='cuda:0')"
25,0.24714438768766694,0.25864962702340416,"tensor(0.6352, device='cuda:0')","tensor(0.7769, device='cuda:0')"
26,0.24666405292385715,0.2644817472094356,"tensor(0.6293, device='cuda:0')","tensor(0.7725, device='cuda:0')"
27,0.2505698459759607,0.2707810055206318,"tensor(0.6276, device='cuda:0')","tensor(0.7712, device='cuda:0')"
28,0.25003355252161874,0.26772202123509775,"tensor(0.6213, device='cuda:0')","tensor(0.7664, device='cuda:0')"
29,0.2454778916376122,0.2643013740382572,"tensor(0.6398, device='cuda:0')","tensor(0.7803, device='cuda:0')"
30,0.24396431038819127,0.26401289633595115,"tensor(0.6296, device='cuda:0')","tensor(0.7727, device='cuda:0')"
31,0.24622308649122715,0.2671347740705651,"tensor(0.6355, device='cuda:0')","tensor(0.7771, device='cuda:0')"
32,0.24387590801816875,0.2680712084811513,"tensor(0.6234, device='cuda:0')","tensor(0.7680, device='cuda:0')"
33,0.2472030953583071,0.27196991237083284,"tensor(0.6162, device='cuda:0')","tensor(0.7625, device='cuda:0')"
