Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.5231205254035481,0.45992302599519785,"tensor(0.4776, device='cuda:0')","tensor(0.6464, device='cuda:0')"
2,0.39008683837571384,0.3379869313523321,"tensor(0.5964, device='cuda:0')","tensor(0.7472, device='cuda:0')"
3,0.3447722413150941,0.33647963847264206,"tensor(0.5786, device='cuda:0')","tensor(0.7330, device='cuda:0')"
4,0.3299289076762684,0.3593611534279172,"tensor(0.5488, device='cuda:0')","tensor(0.7086, device='cuda:0')"
5,0.3245281325811047,0.3508434680723908,"tensor(0.5376, device='cuda:0')","tensor(0.6993, device='cuda:0')"
6,0.30133191455092473,0.3105096954225314,"tensor(0.6182, device='cuda:0')","tensor(0.7641, device='cuda:0')"
7,0.30928866779905256,0.3593809176789652,"tensor(0.5298, device='cuda:0')","tensor(0.6926, device='cuda:0')"
8,0.30307179670465195,0.3636572741635955,"tensor(0.5454, device='cuda:0')","tensor(0.7058, device='cuda:0')"
9,0.28912676163649154,0.3156162597755394,"tensor(0.6207, device='cuda:0')","tensor(0.7659, device='cuda:0')"
10,0.28311634884547376,0.3014670379533626,"tensor(0.6210, device='cuda:0')","tensor(0.7662, device='cuda:0')"
11,0.2993439763342425,0.32093544879762254,"tensor(0.6085, device='cuda:0')","tensor(0.7566, device='cuda:0')"
12,0.3006422520315243,0.3341174968103371,"tensor(0.5845, device='cuda:0')","tensor(0.7377, device='cuda:0')"
13,0.29250884153959106,0.2984315055136633,"tensor(0.6354, device='cuda:0')","tensor(0.7771, device='cuda:0')"
14,0.2850319705272125,0.33093276914983694,"tensor(0.5895, device='cuda:0')","tensor(0.7418, device='cuda:0')"
15,0.2862036010660863,0.3079830608745613,"tensor(0.6114, device='cuda:0')","tensor(0.7588, device='cuda:0')"
16,0.2767282755003642,0.2815787780402911,"tensor(0.6585, device='cuda:0')","tensor(0.7941, device='cuda:0')"
17,0.2800759227346566,0.36827128682986343,"tensor(0.5421, device='cuda:0')","tensor(0.7031, device='cuda:0')"
18,0.2749680819274005,0.3022419085154439,"tensor(0.6172, device='cuda:0')","tensor(0.7633, device='cuda:0')"
19,0.2766448560218185,0.2898256887893866,"tensor(0.6333, device='cuda:0')","tensor(0.7755, device='cuda:0')"
20,0.27170305957986135,0.3243076373444925,"tensor(0.5836, device='cuda:0')","tensor(0.7370, device='cuda:0')"
21,0.26500249616170335,0.2813203363577918,"tensor(0.6491, device='cuda:0')","tensor(0.7872, device='cuda:0')"
22,0.26184549337347685,0.28773697118948,"tensor(0.6373, device='cuda:0')","tensor(0.7785, device='cuda:0')"
23,0.26117203081563367,0.2801263790466998,"tensor(0.6501, device='cuda:0')","tensor(0.7880, device='cuda:0')"
24,0.258433922872705,0.2865276788130845,"tensor(0.6392, device='cuda:0')","tensor(0.7799, device='cuda:0')"
25,0.2571023215492398,0.2856237515069471,"tensor(0.6403, device='cuda:0')","tensor(0.7807, device='cuda:0')"
26,0.25689890380885644,0.28092804787182574,"tensor(0.6477, device='cuda:0')","tensor(0.7862, device='cuda:0')"
27,0.2565450893115189,0.28597616072338405,"tensor(0.6406, device='cuda:0')","tensor(0.7809, device='cuda:0')"
28,0.2563323434757984,0.28234486252364543,"tensor(0.6446, device='cuda:0')","tensor(0.7839, device='cuda:0')"
29,0.25624928411917164,0.28732661283252264,"tensor(0.6375, device='cuda:0')","tensor(0.7787, device='cuda:0')"
30,0.2585600180140996,0.2841284356199869,"tensor(0.6432, device='cuda:0')","tensor(0.7829, device='cuda:0')"
31,0.2583655066851337,0.28504327175640826,"tensor(0.6405, device='cuda:0')","tensor(0.7809, device='cuda:0')"
32,0.25915794699626454,0.29509157879222736,"tensor(0.6280, device='cuda:0')","tensor(0.7715, device='cuda:0')"
33,0.2507268861883273,0.28582904775543966,"tensor(0.6411, device='cuda:0')","tensor(0.7813, device='cuda:0')"
34,0.25800649430287087,0.280925055246542,"tensor(0.6482, device='cuda:0')","tensor(0.7865, device='cuda:0')"
35,0.25873198609609727,0.29310810683977484,"tensor(0.6307, device='cuda:0')","tensor(0.7736, device='cuda:0')"
36,0.2561224307549202,0.29031533578244767,"tensor(0.6349, device='cuda:0')","tensor(0.7767, device='cuda:0')"
