Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6277969423997201,0.5165480092020318,"tensor(0.5434, device='cuda:0')","tensor(0.7042, device='cuda:0')"
2,0.39132422777050635,0.31766843367921244,"tensor(0.6436, device='cuda:0')","tensor(0.7832, device='cuda:0')"
3,0.2971486242140754,0.3210839776709528,"tensor(0.6005, device='cuda:0')","tensor(0.7504, device='cuda:0')"
4,0.26760189996053607,0.33458642093556945,"tensor(0.5659, device='cuda:0')","tensor(0.7228, device='cuda:0')"
5,0.2669124340606948,0.3033392734751843,"tensor(0.6218, device='cuda:0')","tensor(0.7668, device='cuda:0')"
6,0.25598295957986583,0.27851992262767095,"tensor(0.6494, device='cuda:0')","tensor(0.7874, device='cuda:0')"
7,0.24789288191724632,0.2628554869996439,"tensor(0.6684, device='cuda:0')","tensor(0.8012, device='cuda:0')"
8,0.24825318694367246,0.26849450945559117,"tensor(0.6615, device='cuda:0')","tensor(0.7963, device='cuda:0')"
9,0.24850372812252933,0.28564134970454885,"tensor(0.6324, device='cuda:0')","tensor(0.7748, device='cuda:0')"
10,0.24678310900295186,0.3199753464005961,"tensor(0.5992, device='cuda:0')","tensor(0.7494, device='cuda:0')"
11,0.2517835288229635,0.2963854576839079,"tensor(0.6117, device='cuda:0')","tensor(0.7591, device='cuda:0')"
12,0.2573801568567248,0.2863532179357982,"tensor(0.6307, device='cuda:0')","tensor(0.7735, device='cuda:0')"
13,0.24993031715058675,0.302943352720525,"tensor(0.6066, device='cuda:0')","tensor(0.7552, device='cuda:0')"
14,0.24844737875006967,0.2850975044588051,"tensor(0.6276, device='cuda:0')","tensor(0.7712, device='cuda:0')"
15,0.23877248044867636,0.28874070337503266,"tensor(0.6324, device='cuda:0')","tensor(0.7748, device='cuda:0')"
16,0.24108531187146398,0.2825062152477774,"tensor(0.6337, device='cuda:0')","tensor(0.7758, device='cuda:0')"
17,0.24064165173824562,0.29864210657554097,"tensor(0.6097, device='cuda:0')","tensor(0.7575, device='cuda:0')"
18,0.24127163011896408,0.26619065752123844,"tensor(0.6592, device='cuda:0')","tensor(0.7946, device='cuda:0')"
19,0.233769450494546,0.29426612048455986,"tensor(0.6171, device='cuda:0')","tensor(0.7632, device='cuda:0')"
20,0.23399277602843307,0.28809610178860107,"tensor(0.6246, device='cuda:0')","tensor(0.7689, device='cuda:0')"
21,0.23330622933552428,0.2969741690719482,"tensor(0.6160, device='cuda:0')","tensor(0.7624, device='cuda:0')"
22,0.2371540929869575,0.28242877797029986,"tensor(0.6376, device='cuda:0')","tensor(0.7787, device='cuda:0')"
23,0.23657953294025638,0.27724049631321784,"tensor(0.6405, device='cuda:0')","tensor(0.7808, device='cuda:0')"
24,0.23055247517334201,0.2707622901785492,"tensor(0.6501, device='cuda:0')","tensor(0.7880, device='cuda:0')"
25,0.24018552675211835,0.27029158794643854,"tensor(0.6553, device='cuda:0')","tensor(0.7918, device='cuda:0')"
26,0.23627140979140493,0.29476094732780267,"tensor(0.6181, device='cuda:0')","tensor(0.7640, device='cuda:0')"
27,0.23727330012973083,0.30015557119161773,"tensor(0.6102, device='cuda:0')","tensor(0.7579, device='cuda:0')"
