Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.5518042858121759,0.46055182991641586,"tensor(0.5200, device='cuda:0')","tensor(0.6842, device='cuda:0')"
2,0.4049404864594088,0.3858308595891046,"tensor(0.5050, device='cuda:0')","tensor(0.6711, device='cuda:0')"
3,0.35067022800192993,0.38966589487425174,"tensor(0.4840, device='cuda:0')","tensor(0.6523, device='cuda:0')"
4,0.32543342175372575,0.3002962459727089,"tensor(0.6306, device='cuda:0')","tensor(0.7735, device='cuda:0')"
5,0.3014678447428396,0.2868686457081596,"tensor(0.6505, device='cuda:0')","tensor(0.7882, device='cuda:0')"
6,0.292201571861061,0.2869632084770958,"tensor(0.6552, device='cuda:0')","tensor(0.7917, device='cuda:0')"
7,0.29039186794879074,0.313203298366896,"tensor(0.6056, device='cuda:0')","tensor(0.7544, device='cuda:0')"
8,0.28396638091337884,0.34223242118807123,"tensor(0.5818, device='cuda:0')","tensor(0.7356, device='cuda:0')"
9,0.28296370703285023,0.30200262028392,"tensor(0.6292, device='cuda:0')","tensor(0.7724, device='cuda:0')"
10,0.28051081520773596,0.2912572642954269,"tensor(0.6475, device='cuda:0')","tensor(0.7861, device='cuda:0')"
11,0.2591174891439535,0.2846875204750807,"tensor(0.6501, device='cuda:0')","tensor(0.7880, device='cuda:0')"
12,0.2682780430226003,0.2808063416787894,"tensor(0.6555, device='cuda:0')","tensor(0.7919, device='cuda:0')"
13,0.26873987569015917,0.2778962398372074,"tensor(0.6609, device='cuda:0')","tensor(0.7959, device='cuda:0')"
14,0.26134016352184747,0.2919928520032675,"tensor(0.6448, device='cuda:0')","tensor(0.7841, device='cuda:0')"
15,0.2609381759381395,0.27146330202865127,"tensor(0.6694, device='cuda:0')","tensor(0.8020, device='cuda:0')"
16,0.259685994046977,0.2884202881319688,"tensor(0.6483, device='cuda:0')","tensor(0.7867, device='cuda:0')"
17,0.26370874681841516,0.2792396133046339,"tensor(0.6603, device='cuda:0')","tensor(0.7954, device='cuda:0')"
18,0.2592830299952273,0.28665808765309875,"tensor(0.6535, device='cuda:0')","tensor(0.7904, device='cuda:0')"
19,0.26097063833879214,0.2751857955562006,"tensor(0.6644, device='cuda:0')","tensor(0.7984, device='cuda:0')"
20,0.25740355477368426,0.275549649749652,"tensor(0.6652, device='cuda:0')","tensor(0.7989, device='cuda:0')"
21,0.25989774605101446,0.27502323561670755,"tensor(0.6624, device='cuda:0')","tensor(0.7969, device='cuda:0')"
22,0.24984224882545109,0.2742341033155375,"tensor(0.6650, device='cuda:0')","tensor(0.7988, device='cuda:0')"
23,0.2543856752562826,0.27577392019257685,"tensor(0.6642, device='cuda:0')","tensor(0.7982, device='cuda:0')"
24,0.25652497826870213,0.28099681879624283,"tensor(0.6567, device='cuda:0')","tensor(0.7928, device='cuda:0')"
25,0.25814110441606936,0.2840385801426255,"tensor(0.6563, device='cuda:0')","tensor(0.7925, device='cuda:0')"
26,0.2544390025027728,0.2826370551887125,"tensor(0.6585, device='cuda:0')","tensor(0.7941, device='cuda:0')"
27,0.25548348455863484,0.27764778798169426,"tensor(0.6620, device='cuda:0')","tensor(0.7966, device='cuda:0')"
28,0.25447726811645394,0.2805868739096245,"tensor(0.6586, device='cuda:0')","tensor(0.7942, device='cuda:0')"
29,0.2522481346218768,0.28126746578381795,"tensor(0.6563, device='cuda:0')","tensor(0.7925, device='cuda:0')"
30,0.25424632127002134,0.2863484058197182,"tensor(0.6557, device='cuda:0')","tensor(0.7921, device='cuda:0')"
31,0.2575508629177081,0.27243491859719304,"tensor(0.6683, device='cuda:0')","tensor(0.8012, device='cuda:0')"
32,0.25193096264817955,0.2888519645917534,"tensor(0.6494, device='cuda:0')","tensor(0.7874, device='cuda:0')"
33,0.2525514518621109,0.2781009740463578,"tensor(0.6619, device='cuda:0')","tensor(0.7965, device='cuda:0')"
34,0.25516169205686806,0.2761338008659901,"tensor(0.6622, device='cuda:0')","tensor(0.7968, device='cuda:0')"
35,0.25842657742106306,0.2782403550083094,"tensor(0.6634, device='cuda:0')","tensor(0.7976, device='cuda:0')"
