Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.38978616564960805,0.3001196713435768,"tensor(0.6344, device='cuda:0')","tensor(0.7763, device='cuda:0')"
2,0.24030719814285384,0.28878026890872727,"tensor(0.5993, device='cuda:0')","tensor(0.7494, device='cuda:0')"
3,0.20019825412181474,0.22811722777562565,"tensor(0.7042, device='cuda:0')","tensor(0.8264, device='cuda:0')"
4,0.1873154802153171,0.23838148221816166,"tensor(0.6811, device='cuda:0')","tensor(0.8103, device='cuda:0')"
5,0.17761045025061753,0.2166896713989796,"tensor(0.7055, device='cuda:0')","tensor(0.8274, device='cuda:0')"
6,0.162729593056996,0.20746891237426512,"tensor(0.7238, device='cuda:0')","tensor(0.8398, device='cuda:0')"
7,0.1580444208930357,0.1785824526802148,"tensor(0.7674, device='cuda:0')","tensor(0.8684, device='cuda:0')"
8,0.15013498140467427,0.19967824766541473,"tensor(0.7361, device='cuda:0')","tensor(0.8480, device='cuda:0')"
9,0.14833552814956943,0.1810505480533189,"tensor(0.7579, device='cuda:0')","tensor(0.8623, device='cuda:0')"
10,0.14045275449437106,0.20608712260675902,"tensor(0.7274, device='cuda:0')","tensor(0.8422, device='cuda:0')"
11,0.14425640007070564,0.2008081577201881,"tensor(0.7258, device='cuda:0')","tensor(0.8411, device='cuda:0')"
12,0.12785531329464608,0.17579699691274378,"tensor(0.7601, device='cuda:0')","tensor(0.8637, device='cuda:0')"
13,0.1203038394766844,0.1728912916513953,"tensor(0.7637, device='cuda:0')","tensor(0.8660, device='cuda:0')"
14,0.11823278204616854,0.16909919590643135,"tensor(0.7697, device='cuda:0')","tensor(0.8699, device='cuda:0')"
15,0.11467003299838911,0.16629334598189532,"tensor(0.7735, device='cuda:0')","tensor(0.8723, device='cuda:0')"
16,0.11608974723997763,0.16180120659346628,"tensor(0.7796, device='cuda:0')","tensor(0.8762, device='cuda:0')"
17,0.11424231928599587,0.16591853556213992,"tensor(0.7747, device='cuda:0')","tensor(0.8731, device='cuda:0')"
18,0.11255735319928598,0.16226831720312043,"tensor(0.7809, device='cuda:0')","tensor(0.8770, device='cuda:0')"
19,0.11293788700980151,0.16029156833001884,"tensor(0.7835, device='cuda:0')","tensor(0.8786, device='cuda:0')"
20,0.11357118018855483,0.16329803159183795,"tensor(0.7802, device='cuda:0')","tensor(0.8765, device='cuda:0')"
21,0.109828880198805,0.160178621400996,"tensor(0.7846, device='cuda:0')","tensor(0.8793, device='cuda:0')"
22,0.11037068785625999,0.16197316189951236,"tensor(0.7835, device='cuda:0')","tensor(0.8786, device='cuda:0')"
23,0.10854946097390632,0.16674024091646222,"tensor(0.7785, device='cuda:0')","tensor(0.8755, device='cuda:0')"
24,0.10766754855038756,0.16626402123434708,"tensor(0.7768, device='cuda:0')","tensor(0.8744, device='cuda:0')"
25,0.10863935915847957,0.16677369280616836,"tensor(0.7767, device='cuda:0')","tensor(0.8743, device='cuda:0')"
26,0.10814265875240504,0.16407831769325945,"tensor(0.7795, device='cuda:0')","tensor(0.8761, device='cuda:0')"
27,0.1059471832714596,0.16198134060838434,"tensor(0.7816, device='cuda:0')","tensor(0.8774, device='cuda:0')"
28,0.10389490843892603,0.1627264411216325,"tensor(0.7807, device='cuda:0')","tensor(0.8768, device='cuda:0')"
29,0.10379298492255858,0.16177004110990184,"tensor(0.7826, device='cuda:0')","tensor(0.8780, device='cuda:0')"
30,0.10548278490491843,0.1621464527036884,"tensor(0.7818, device='cuda:0')","tensor(0.8775, device='cuda:0')"
31,0.10608817008718596,0.16234942355958543,"tensor(0.7808, device='cuda:0')","tensor(0.8769, device='cuda:0')"
32,0.10581815121221845,0.16224717942647415,"tensor(0.7803, device='cuda:0')","tensor(0.8766, device='cuda:0')"
33,0.10700228436202822,0.16201212943190396,"tensor(0.7805, device='cuda:0')","tensor(0.8767, device='cuda:0')"
34,0.10598420465396623,0.16159216569054244,"tensor(0.7824, device='cuda:0')","tensor(0.8779, device='cuda:0')"
35,0.10733444423619974,0.16297474090415653,"tensor(0.7801, device='cuda:0')","tensor(0.8765, device='cuda:0')"
36,0.10708292341649027,0.16271401934399463,"tensor(0.7814, device='cuda:0')","tensor(0.8773, device='cuda:0')"
37,0.1047637536648219,0.1615754794513825,"tensor(0.7806, device='cuda:0')","tensor(0.8768, device='cuda:0')"
38,0.10664735409289093,0.16258979028109277,"tensor(0.7822, device='cuda:0')","tensor(0.8778, device='cuda:0')"
39,0.1053816946065527,0.16602206495728825,"tensor(0.7760, device='cuda:0')","tensor(0.8739, device='cuda:0')"
40,0.1068397815797036,0.16055607522773271,"tensor(0.7829, device='cuda:0')","tensor(0.8782, device='cuda:0')"
41,0.10563266068949538,0.1603665446659716,"tensor(0.7830, device='cuda:0')","tensor(0.8783, device='cuda:0')"
