Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.41685673588160743,0.28981621150333103,"tensor(0.6581, device='cuda:0')","tensor(0.7938, device='cuda:0')"
2,0.2604228636028908,0.26604370957258905,"tensor(0.6709, device='cuda:0')","tensor(0.8030, device='cuda:0')"
3,0.22720908951329982,0.2600052206970678,"tensor(0.6663, device='cuda:0')","tensor(0.7997, device='cuda:0')"
4,0.20315718076239198,0.20375740151889254,"tensor(0.7377, device='cuda:0')","tensor(0.8490, device='cuda:0')"
5,0.18593367520656626,0.2039894634986868,"tensor(0.7404, device='cuda:0')","tensor(0.8509, device='cuda:0')"
6,0.17466265417761723,0.21126083793616532,"tensor(0.7261, device='cuda:0')","tensor(0.8413, device='cuda:0')"
7,0.1638297136652015,0.19697349466899833,"tensor(0.7354, device='cuda:0')","tensor(0.8476, device='cuda:0')"
8,0.15301035129922932,0.18781203105308042,"tensor(0.7347, device='cuda:0')","tensor(0.8471, device='cuda:0')"
9,0.15826930348777166,0.18014026012751136,"tensor(0.7484, device='cuda:0')","tensor(0.8561, device='cuda:0')"
10,0.14472613980898918,0.20152738218260283,"tensor(0.7293, device='cuda:0')","tensor(0.8435, device='cuda:0')"
11,0.14231969004149658,0.20697473985428858,"tensor(0.7250, device='cuda:0')","tensor(0.8406, device='cuda:0')"
12,0.13462551293294814,0.1786344779452475,"tensor(0.7514, device='cuda:0')","tensor(0.8581, device='cuda:0')"
13,0.13789123599812136,0.16398568322310353,"tensor(0.7775, device='cuda:0')","tensor(0.8748, device='cuda:0')"
14,0.13012899197953737,0.20908661289970473,"tensor(0.7187, device='cuda:0')","tensor(0.8363, device='cuda:0')"
15,0.13305234852231154,0.20237218514822497,"tensor(0.7237, device='cuda:0')","tensor(0.8397, device='cuda:0')"
16,0.12798708380531457,0.19963969504184062,"tensor(0.7338, device='cuda:0')","tensor(0.8465, device='cuda:0')"
17,0.12757996592860102,0.17711740488758182,"tensor(0.7618, device='cuda:0')","tensor(0.8648, device='cuda:0')"
18,0.10556934660269042,0.15881278568712792,"tensor(0.7812, device='cuda:0')","tensor(0.8772, device='cuda:0')"
19,0.1034252377132238,0.16926124898513945,"tensor(0.7639, device='cuda:0')","tensor(0.8661, device='cuda:0')"
20,0.1044714487141977,0.16339509270273814,"tensor(0.7739, device='cuda:0')","tensor(0.8726, device='cuda:0')"
21,0.09927634165574939,0.1601827663950401,"tensor(0.7799, device='cuda:0')","tensor(0.8763, device='cuda:0')"
22,0.09968247447731131,0.1656686252370329,"tensor(0.7735, device='cuda:0')","tensor(0.8723, device='cuda:0')"
23,0.09774784423347752,0.16478783983995418,"tensor(0.7733, device='cuda:0')","tensor(0.8722, device='cuda:0')"
24,0.09980351173208427,0.1608208892221498,"tensor(0.7799, device='cuda:0')","tensor(0.8763, device='cuda:0')"
25,0.09865020783775943,0.15923343539828122,"tensor(0.7809, device='cuda:0')","tensor(0.8770, device='cuda:0')"
26,0.09919210801185188,0.15983313908523852,"tensor(0.7805, device='cuda:0')","tensor(0.8767, device='cuda:0')"
27,0.09833416265388162,0.16372847900089652,"tensor(0.7751, device='cuda:0')","tensor(0.8733, device='cuda:0')"
28,0.09589344864490174,0.16086393834488227,"tensor(0.7789, device='cuda:0')","tensor(0.8757, device='cuda:0')"
29,0.09988502690852699,0.16096583447686516,"tensor(0.7783, device='cuda:0')","tensor(0.8753, device='cuda:0')"
30,0.09762086610357135,0.15879725690672894,"tensor(0.7822, device='cuda:0')","tensor(0.8778, device='cuda:0')"
31,0.09618984958377935,0.15815874687073253,"tensor(0.7831, device='cuda:0')","tensor(0.8784, device='cuda:0')"
32,0.0960865708667848,0.1609452064379607,"tensor(0.7786, device='cuda:0')","tensor(0.8755, device='cuda:0')"
33,0.09860874062119904,0.15940411211830555,"tensor(0.7811, device='cuda:0')","tensor(0.8771, device='cuda:0')"
34,0.09787875772217068,0.16225675460283118,"tensor(0.7765, device='cuda:0')","tensor(0.8742, device='cuda:0')"
35,0.09547891617768396,0.15930021487840332,"tensor(0.7809, device='cuda:0')","tensor(0.8770, device='cuda:0')"
36,0.09374986852566569,0.16245563512686456,"tensor(0.7769, device='cuda:0')","tensor(0.8744, device='cuda:0')"
37,0.0953533498696604,0.16016596164738778,"tensor(0.7806, device='cuda:0')","tensor(0.8768, device='cuda:0')"
38,0.0969786725433196,0.16187334794661787,"tensor(0.7772, device='cuda:0')","tensor(0.8747, device='cuda:0')"
39,0.0978473305891631,0.1601287012569385,"tensor(0.7801, device='cuda:0')","tensor(0.8765, device='cuda:0')"
40,0.09618639999653324,0.15879827221431356,"tensor(0.7824, device='cuda:0')","tensor(0.8779, device='cuda:0')"
41,0.09532590324090699,0.15993384423084778,"tensor(0.7802, device='cuda:0')","tensor(0.8765, device='cuda:0')"
42,0.09722301256606135,0.15835927039532377,"tensor(0.7828, device='cuda:0')","tensor(0.8781, device='cuda:0')"
43,0.09671551039663412,0.15924899213679947,"tensor(0.7813, device='cuda:0')","tensor(0.8772, device='cuda:0')"
44,0.09657546218042656,0.15727782680994212,"tensor(0.7826, device='cuda:0')","tensor(0.8781, device='cuda:0')"
45,0.0959497964546337,0.15861537462413902,"tensor(0.7833, device='cuda:0')","tensor(0.8785, device='cuda:0')"
46,0.09683696294234971,0.16186800960562017,"tensor(0.7775, device='cuda:0')","tensor(0.8748, device='cuda:0')"
47,0.09745946826444844,0.1599073224507346,"tensor(0.7795, device='cuda:0')","tensor(0.8761, device='cuda:0')"
48,0.09527251165423353,0.15985721998875685,"tensor(0.7810, device='cuda:0')","tensor(0.8770, device='cuda:0')"
49,0.09613190097260778,0.15886781534346023,"tensor(0.7819, device='cuda:0')","tensor(0.8776, device='cuda:0')"
50,0.09534130799505165,0.1592133689192262,"tensor(0.7824, device='cuda:0')","tensor(0.8779, device='cuda:0')"
51,0.09769375795908904,0.16176807153785583,"tensor(0.7779, device='cuda:0')","tensor(0.8751, device='cuda:0')"
52,0.09706640466100584,0.16191184454330124,"tensor(0.7777, device='cuda:0')","tensor(0.8749, device='cuda:0')"
53,0.09811695370728434,0.15801224551431023,"tensor(0.7815, device='cuda:0')","tensor(0.8774, device='cuda:0')"
54,0.09712848168308452,0.16033316451576676,"tensor(0.7801, device='cuda:0')","tensor(0.8765, device='cuda:0')"
55,0.09838122465663542,0.16036521433161036,"tensor(0.7793, device='cuda:0')","tensor(0.8759, device='cuda:0')"
56,0.09620457164690656,0.15731936401807436,"tensor(0.7830, device='cuda:0')","tensor(0.8783, device='cuda:0')"
57,0.09888034730644549,0.16203792407961176,"tensor(0.7752, device='cuda:0')","tensor(0.8734, device='cuda:0')"
58,0.09778926551531432,0.15905693490611444,"tensor(0.7819, device='cuda:0')","tensor(0.8776, device='cuda:0')"
59,0.09756286434387251,0.15946747827352864,"tensor(0.7812, device='cuda:0')","tensor(0.8772, device='cuda:0')"
60,0.0951136810610355,0.16299683445751076,"tensor(0.7763, device='cuda:0')","tensor(0.8741, device='cuda:0')"
61,0.09690830556644221,0.16292243860293143,"tensor(0.7754, device='cuda:0')","tensor(0.8735, device='cuda:0')"
62,0.09696454980994686,0.1599443188250655,"tensor(0.7817, device='cuda:0')","tensor(0.8775, device='cuda:0')"
63,0.09631627712051495,0.16161814593885204,"tensor(0.7776, device='cuda:0')","tensor(0.8749, device='cuda:0')"
64,0.09822463342067549,0.16129254306306934,"tensor(0.7807, device='cuda:0')","tensor(0.8768, device='cuda:0')"
65,0.09644474599005307,0.15763742255397362,"tensor(0.7841, device='cuda:0')","tensor(0.8790, device='cuda:0')"
66,0.09628287279757403,0.16095808321739188,"tensor(0.7796, device='cuda:0')","tensor(0.8762, device='cuda:0')"
67,0.09701227047875272,0.1568370581337131,"tensor(0.7853, device='cuda:0')","tensor(0.8797, device='cuda:0')"
68,0.09540312704077716,0.16013708079953004,"tensor(0.7809, device='cuda:0')","tensor(0.8770, device='cuda:0')"
69,0.0976983863639377,0.16155206954272666,"tensor(0.7773, device='cuda:0')","tensor(0.8747, device='cuda:0')"
70,0.09631494096464525,0.16227206882863943,"tensor(0.7761, device='cuda:0')","tensor(0.8739, device='cuda:0')"
71,0.09696539657158872,0.1610640904838496,"tensor(0.7798, device='cuda:0')","tensor(0.8763, device='cuda:0')"
72,0.09855429477737111,0.16074237264323943,"tensor(0.7796, device='cuda:0')","tensor(0.8761, device='cuda:0')"
73,0.0943955281528376,0.16152936817690877,"tensor(0.7788, device='cuda:0')","tensor(0.8757, device='cuda:0')"
74,0.09702332448845698,0.15913873826070588,"tensor(0.7810, device='cuda:0')","tensor(0.8771, device='cuda:0')"
75,0.09711818425458367,0.16298412070563523,"tensor(0.7760, device='cuda:0')","tensor(0.8739, device='cuda:0')"
76,0.09692337706495645,0.16039941467270993,"tensor(0.7792, device='cuda:0')","tensor(0.8759, device='cuda:0')"
77,0.09604148053706198,0.15920990779258237,"tensor(0.7817, device='cuda:0')","tensor(0.8775, device='cuda:0')"
78,0.09543537361136938,0.15892564962701042,"tensor(0.7819, device='cuda:0')","tensor(0.8776, device='cuda:0')"
79,0.09706484452205694,0.15945328329459274,"tensor(0.7818, device='cuda:0')","tensor(0.8776, device='cuda:0')"
80,0.09736385990439331,0.15708387901287268,"tensor(0.7837, device='cuda:0')","tensor(0.8787, device='cuda:0')"
81,0.09851936217776294,0.16211693206488495,"tensor(0.7769, device='cuda:0')","tensor(0.8744, device='cuda:0')"
82,0.09733140288646948,0.16040268540382385,"tensor(0.7795, device='cuda:0')","tensor(0.8761, device='cuda:0')"
83,0.09700418309450655,0.15938746936545514,"tensor(0.7809, device='cuda:0')","tensor(0.8769, device='cuda:0')"
84,0.09561599862083035,0.1579041398028926,"tensor(0.7833, device='cuda:0')","tensor(0.8785, device='cuda:0')"
85,0.09682028213421166,0.1589745478981202,"tensor(0.7816, device='cuda:0')","tensor(0.8774, device='cuda:0')"
86,0.09557727897950148,0.16068333092302378,"tensor(0.7790, device='cuda:0')","tensor(0.8758, device='cuda:0')"
87,0.09696257772650253,0.1603672910887416,"tensor(0.7796, device='cuda:0')","tensor(0.8761, device='cuda:0')"
