Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.3891267823213238,0.2740749006371687,"tensor(0.6756, device='cuda:0')","tensor(0.8064, device='cuda:0')"
2,0.21200689600812175,0.19759785531475993,"tensor(0.7146, device='cuda:0')","tensor(0.8335, device='cuda:0')"
3,0.180396535702176,0.19565848065632405,"tensor(0.7181, device='cuda:0')","tensor(0.8359, device='cuda:0')"
4,0.16353190800774906,0.2319880483838001,"tensor(0.6558, device='cuda:0')","tensor(0.7921, device='cuda:0')"
5,0.14883774357958365,0.21610921639764663,"tensor(0.6754, device='cuda:0')","tensor(0.8063, device='cuda:0')"
6,0.14480046451218048,0.17259428131919685,"tensor(0.7346, device='cuda:0')","tensor(0.8470, device='cuda:0')"
7,0.13929980917502258,0.1802278248464117,"tensor(0.7345, device='cuda:0')","tensor(0.8469, device='cuda:0')"
8,0.1286141837994426,0.16669475698456315,"tensor(0.7471, device='cuda:0')","tensor(0.8553, device='cuda:0')"
9,0.12518191747998786,0.20985417436845233,"tensor(0.6917, device='cuda:0')","tensor(0.8178, device='cuda:0')"
10,0.12634196032975184,0.16422043349778298,"tensor(0.7501, device='cuda:0')","tensor(0.8572, device='cuda:0')"
11,0.1208875549925586,0.17491768057098483,"tensor(0.7307, device='cuda:0')","tensor(0.8444, device='cuda:0')"
12,0.11503193303311275,0.17503602723452713,"tensor(0.7520, device='cuda:0')","tensor(0.8585, device='cuda:0')"
13,0.10778868168403032,0.17475786428935458,"tensor(0.7379, device='cuda:0')","tensor(0.8492, device='cuda:0')"
14,0.10773753675521683,0.16872883495865482,"tensor(0.7462, device='cuda:0')","tensor(0.8547, device='cuda:0')"
15,0.11272197485096373,0.1803755472681605,"tensor(0.7255, device='cuda:0')","tensor(0.8409, device='cuda:0')"
16,0.10947175658607887,0.1600468093805974,"tensor(0.7744, device='cuda:0')","tensor(0.8728, device='cuda:0')"
17,0.10602988956211987,0.17103696509384284,"tensor(0.7618, device='cuda:0')","tensor(0.8648, device='cuda:0')"
18,0.1039384996076509,0.1536732844381344,"tensor(0.7707, device='cuda:0')","tensor(0.8705, device='cuda:0')"
19,0.10206471731633705,0.15401511543458052,"tensor(0.7619, device='cuda:0')","tensor(0.8648, device='cuda:0')"
20,0.10199812507667279,0.1609618358756646,"tensor(0.7608, device='cuda:0')","tensor(0.8641, device='cuda:0')"
21,0.09621588909461842,0.15353231410505158,"tensor(0.7688, device='cuda:0')","tensor(0.8693, device='cuda:0')"
22,0.08694141505728081,0.15138512504941756,"tensor(0.7739, device='cuda:0')","tensor(0.8725, device='cuda:0')"
23,0.08588531970883072,0.149158209783606,"tensor(0.7762, device='cuda:0')","tensor(0.8740, device='cuda:0')"
24,0.08632761970856938,0.15695775287354938,"tensor(0.7666, device='cuda:0')","tensor(0.8679, device='cuda:0')"
25,0.08373685121157412,0.1481863029006094,"tensor(0.7797, device='cuda:0')","tensor(0.8762, device='cuda:0')"
26,0.0824496590106164,0.15122803684213373,"tensor(0.7749, device='cuda:0')","tensor(0.8732, device='cuda:0')"
27,0.08156161734013487,0.14543354540768236,"tensor(0.7831, device='cuda:0')","tensor(0.8783, device='cuda:0')"
28,0.08231786674804102,0.14539730626315173,"tensor(0.7830, device='cuda:0')","tensor(0.8783, device='cuda:0')"
29,0.07974952943938768,0.1546193374560611,"tensor(0.7729, device='cuda:0')","tensor(0.8719, device='cuda:0')"
30,0.07928285289997772,0.14561777102696424,"tensor(0.7845, device='cuda:0')","tensor(0.8793, device='cuda:0')"
31,0.08013453863371732,0.14660706644011015,"tensor(0.7821, device='cuda:0')","tensor(0.8777, device='cuda:0')"
32,0.07802207819265077,0.14990995352221007,"tensor(0.7781, device='cuda:0')","tensor(0.8752, device='cuda:0')"
33,0.07798316028221684,0.14752715785462078,"tensor(0.7821, device='cuda:0')","tensor(0.8777, device='cuda:0')"
34,0.07883119219282674,0.14176396251019865,"tensor(0.7868, device='cuda:0')","tensor(0.8807, device='cuda:0')"
35,0.07683725588781348,0.14624683289687232,"tensor(0.7839, device='cuda:0')","tensor(0.8788, device='cuda:0')"
36,0.07629521546285536,0.15171692278789412,"tensor(0.7814, device='cuda:0')","tensor(0.8773, device='cuda:0')"
37,0.07442536651772463,0.1466953208540926,"tensor(0.7858, device='cuda:0')","tensor(0.8801, device='cuda:0')"
38,0.07680439887473643,0.1435569404891812,"tensor(0.7862, device='cuda:0')","tensor(0.8803, device='cuda:0')"
39,0.07613624962267734,0.1455473966970302,"tensor(0.7840, device='cuda:0')","tensor(0.8789, device='cuda:0')"
40,0.07445147654862475,0.14834159953833218,"tensor(0.7829, device='cuda:0')","tensor(0.8782, device='cuda:0')"
41,0.07541230663467767,0.15026026126919406,"tensor(0.7799, device='cuda:0')","tensor(0.8764, device='cuda:0')"
42,0.07417119514607524,0.14975441191898714,"tensor(0.7823, device='cuda:0')","tensor(0.8779, device='cuda:0')"
43,0.07395049858585757,0.14926512775444747,"tensor(0.7818, device='cuda:0')","tensor(0.8776, device='cuda:0')"
44,0.07453269986593622,0.14625223506573992,"tensor(0.7845, device='cuda:0')","tensor(0.8793, device='cuda:0')"
45,0.0748636570317134,0.14780267776165268,"tensor(0.7841, device='cuda:0')","tensor(0.8790, device='cuda:0')"
46,0.07365444810050777,0.14678729663022083,"tensor(0.7834, device='cuda:0')","tensor(0.8785, device='cuda:0')"
47,0.07758292000172502,0.14672696841235208,"tensor(0.7838, device='cuda:0')","tensor(0.8788, device='cuda:0')"
48,0.0736446728519464,0.1483152206101925,"tensor(0.7833, device='cuda:0')","tensor(0.8785, device='cuda:0')"
49,0.0729691359861675,0.1476325156480664,"tensor(0.7837, device='cuda:0')","tensor(0.8787, device='cuda:0')"
50,0.07405537791487019,0.14957298085757412,"tensor(0.7819, device='cuda:0')","tensor(0.8776, device='cuda:0')"
51,0.07241407012314362,0.14888574437487243,"tensor(0.7821, device='cuda:0')","tensor(0.8777, device='cuda:0')"
52,0.07293263701248472,0.1468733524958981,"tensor(0.7840, device='cuda:0')","tensor(0.8789, device='cuda:0')"
53,0.07384835249917993,0.14495689112066043,"tensor(0.7859, device='cuda:0')","tensor(0.8801, device='cuda:0')"
54,0.07372180035464086,0.14645587431617302,"tensor(0.7861, device='cuda:0')","tensor(0.8803, device='cuda:0')"
